,age,weight(kg),height(m),gender,BMI,BMR,activity_level,calories_to_maintain_weight,calory_to_balance,needed_calory
2747,15,52.60588417140083,1.60338764462268,F,20.46243246249449,1362.092,1.2,1634.5104,1733.3655588117765,-98.85515881177662
2748,15,48.47286314947049,1.61306450597695,F,18.629242794344364,1324.06,1.2,1588.8719999999998,1850.7742252662733,-261.9022252662735
2749,15,53.70661506869127,1.5971026478245542,M,21.055333362302846,1498.332,1.9,2846.8308,2933.9943137924015,-87.16351379240132
2750,14,50.3705112389335,1.5977335685900036,M,19.73184244458357,1459.743,1.5,2189.6145,2408.0181454643057,-218.40364546430555
2751,15,54.127279528094654,1.6181822187038697,M,20.670993500721966,1514.635,1.2,1817.562,1908.0406270082015,-90.47862700820156
2752,16,52.06633139351652,1.6073391999631002,F,20.15310211003326,1352.884,1.5,2029.326,2185.091603246351,-155.76560324635102
2753,15,48.58510777640175,1.605583090060541,M,18.84679902369078,1432.408,1.7,2435.0936,2803.740362147291,-368.6467621472907
2754,15,52.05943685519351,1.6115457017485106,M,20.045376306923245,1482.987,1.2,1779.5844,1926.4782505810338,-146.8938505810338
2755,15,49.81260966942393,1.5900860398647754,F,19.70144340622701,1333.016,1.5,1999.524,2202.359994917219,-202.83599491721907
2756,16,53.5828279111978,1.5913131125407074,F,21.1599358911596,1364.718,1.3,1774.1334000000002,1819.414528381646,-45.281128381645885
2757,15,54.28359090313288,1.5906869731223887,M,21.453547685882764,1503.029,1.3,1953.9377,1976.383986034211,-22.44628603421097
2758,15,47.86368383701978,1.5985048903374006,M,18.73174265436407,1418.985,1.3,1844.6805,2136.9910738483277,-292.31057384832775
2759,16,54.085412504054176,1.6105322074003865,M,20.85169279299795,1503.436,1.2,1804.1232,1877.520152855239,-73.39695285523908
2760,16,47.662159137481645,1.5918839810985383,F,18.80835820532321,1307.977,1.5,1961.9655,2263.6027496515017,-301.63724965150163
2761,14,51.6739756006593,1.6090313632614337,F,19.95918744840257,1358.805,1.2,1630.566,1772.7816972244477,-142.2156972244477
2762,16,51.14546548885546,1.6080445947083342,F,19.779301861979423,1344.164,1.2,1612.9968,1769.62922171092,-156.6324217109202
2763,16,51.60669720054473,1.6010309707876704,F,20.13291217945632,1347.4,1.9,2560.06,2759.3276871632484,-199.2676871632484
2764,17,53.135997817790994,1.607523868613094,M,20.56240838270836,1482.125,1.9,2816.0375,2971.831539022824,-155.7940390228241
2765,15,52.15399743134169,1.6179297993991766,F,19.92362015279908,1360.226,1.2,1632.2712,1777.8036706358196,-145.53247063581966
2766,16,51.45371471881264,1.6078348973873224,M,19.90370072998038,1466.033,1.5,2199.0495,2397.512643370972,-198.46314337097192
2767,17,51.71610801993788,1.613794448460648,M,19.857720773135977,1465.808,1.5,2198.712,2402.695200777828,-203.9832007778282
2768,17,49.401617573348354,1.5979490909102545,F,19.347073938478008,1321.007,1.5,1981.5105,2222.4951425074573,-240.98464250745724
2769,14,49.98387307741884,1.612753607318249,F,19.21736598441804,1343.213,1.2,1611.8556,1820.0864024945201,-208.23080249452005
2770,16,50.52171563374991,1.5956731483370412,M,19.842217977779423,1447.184,1.5,2170.776,2374.0208505295177,-203.24485052951786
2771,17,48.66449110225123,1.5907407338282775,M,19.23150986235568,1412.474,1.7,2401.2058,2709.4162773976545,-308.21047739765436
2772,17,48.040259729820846,1.6213862796720215,F,18.27394693480582,1311.922,1.7,2230.2674,2648.4044608786794,-418.1370608786792
2773,17,52.84223491555103,1.5902352162770184,M,20.89577310111244,1469.456,1.2,1763.3472,1831.214095541786,-67.8668955417861
2774,16,48.33447144452169,1.5999164071784815,M,18.882625921447453,1419.34,1.7,2412.878,2772.890424129441,-360.01242412944066
2775,16,52.18405963992815,1.623327533053392,F,19.80275217277843,1356.733,1.2,1628.0795999999998,1784.0614785133225,-155.98187851332273
2776,14,48.91502329688744,1.621409430244912,F,18.60616532437616,1334.424,1.5,2001.636,2334.4681960390103,-332.83219603901034
2777,16,51.85583812390775,1.624563857882957,F,19.64825942538921,1353.792,1.9,2572.2047999999995,2840.8035007861426,-268.5987007861431
2778,14,47.63097414047183,1.6072552789721737,F,18.4382518178734,1319.691,1.2,1583.6292,1863.7750465414517,-280.14584654145165
2779,16,49.55719725315633,1.6095814096497068,F,19.128496761273286,1329.178,1.2,1595.0136,1809.4362328603634,-214.42263286036336
2780,15,51.223226283311,1.6198310239530254,M,19.52214363503857,1475.674,1.2,1770.8088,1968.3571475742847,-197.54834757428466
2781,17,52.49123016946259,1.615562351376029,M,20.11126103638321,1477.311,1.2,1772.7732,1912.8178173614053,-140.04461736140524
2782,14,51.06780086099242,1.5968932394174888,F,20.026054402696428,1350.923,1.5,2026.3845,2195.7667129916153,-169.38221299161546
2783,15,52.99718731244835,1.6068868044336662,M,20.52495683178834,1493.505,1.2,1792.206,1894.8088670163324,-102.60286701633254
2784,15,53.13154557712176,1.613488670280525,F,20.40894753205358,1368.856,1.3,1779.5128,1892.0832492391855,-112.57044923918556
2785,15,50.90810107670239,1.5983804794710192,M,19.926295373139894,1460.631,1.2,1752.7572,1908.77584256178,-156.0186425617801
2786,14,54.07964654616418,1.6119865011288086,M,20.811867061836807,1517.684,1.7,2580.0628,2690.1653077856386,-110.10250778563841
2787,15,51.98811838342037,1.619936927734509,F,19.811067969200906,1358.975,1.5,2038.4625,2232.824415057733,-194.36191505773286
2788,15,52.97894022343987,1.6183462748795974,M,20.228345443284503,1498.985,1.2,1798.782,1929.6471631573081,-130.8651631573082
2789,17,53.75784944781327,1.6226358314619815,M,20.4173682947616,1498.2,1.2,1797.84,1910.7814208361726,-112.94142083617271
2790,15,51.191244544642245,1.6157477105567868,M,19.60869040585764,1473.194,1.9,2799.0686,3097.595370359634,-298.52677035963416
2791,17,52.950625638030296,1.6221555554501823,M,20.12269290473443,1486.901,1.5,2230.3515,2405.1764731057874,-174.8249731057872
2792,17,51.771714892017535,1.6196512852789111,F,19.735562580103878,1347.449,1.2,1616.9388,1777.8855716721764,-160.9467716721765
2793,15,49.51915302715901,1.6109477885179595,M,19.08140185800124,1447.886,1.5,2171.829,2469.8756229085934,-298.04662290859324
2794,16,49.88585244315007,1.6206577434982377,M,18.993053018265595,1450.965,1.5,2176.4475,2486.6413369446195,-310.1938369446193
2795,17,52.57776308585007,1.61707667862835,F,20.106703678223703,1354.75,1.9,2574.025,2777.996005406618,-203.97100540661813
2796,16,51.45637954151114,1.6103063672307534,F,19.8436795801812,1347.533,1.5,2021.2995,2210.386383874451,-189.0868838744509
2797,14,49.168180753452205,1.6128706453210784,F,18.901012271065493,1335.403,1.2,1602.4836,1839.7900398823303,-237.30643988233032
2798,14,51.7558124870873,1.5990235392593086,F,20.24181338378888,1357.89,1.5,2036.835,2183.5652103876246,-146.73021038762454
2799,15,53.09656539524333,1.5900418357041035,F,21.001452227746206,1364.534,1.2,1637.4408,1691.9051584945184,-54.464358494518365
2800,16,53.61055952073835,1.6142688639156375,M,20.573046114701693,1498.799,1.5,2248.1985,2371.3507070368705,-123.15220703687055
2801,15,50.70728793772864,1.601529366998503,M,19.7697223367792,1459.455,1.9,2772.9645,3043.7114201677346,-270.7469201677345
2802,17,52.70527238183767,1.61235891579122,M,20.273587939701034,1478.642,1.9,2809.4198,3007.085368476667,-197.66556847666698
2803,15,54.21427593146398,1.6010095181784043,M,21.15075302860144,1507.24,1.2,1808.688,1855.6563705758163,-46.96837057581615
2804,15,49.86411536237589,1.603947655941008,F,19.382408224390623,1335.867,1.2,1603.0404,1794.7190192922303,-191.67861929223022
2805,14,50.83060238452466,1.5906056584696284,F,20.09093785463324,1347.577,1.3,1751.8501,1892.1539375143307,-140.30383751433055
2806,14,50.09028904287833,1.6100724730146971,F,19.32247204555088,1343.779,1.2,1612.5348,1810.9486755892146,-198.41387558921474
2807,16,51.62762909974144,1.6007534090860494,F,20.148063482067208,1347.553,1.9,2560.3507,2757.5657700031993,-197.21507000319934
2808,16,53.95048487040762,1.62478954264377,M,20.43624599468878,1508.716,1.9,2866.5604,3043.8252062617776,-177.26480626177772
2809,16,47.68053864312725,1.5939214487846185,M,18.76753884088716,1407.384,1.3,1829.5992,2115.477313066972,-285.87811306697176
2810,15,47.71493276986278,1.6218954220216242,F,18.13880284261791,1318.286,1.3,1713.7718000000002,2050.2371839349385,-336.46538393493825
2811,16,49.99177951697428,1.6063673459620182,M,19.373534556034688,1445.271,1.5,2167.9065,2428.238941837608,-260.3324418376078
2812,14,51.99927899487582,1.5983601025066672,F,20.353919903495957,1360.114,1.3,1768.1482,1885.0823881551107,-116.93418815511063
2813,16,51.91940835243662,1.6237447266444929,M,19.69219952726932,1480.368,1.2,1776.4416,1957.566124932794,-181.12452493279397
2814,16,50.379962807901,1.619472776195779,F,19.20925576038397,1338.758,1.2,1606.5096,1814.8156677624017,-208.30606776240165
2815,16,54.15592288432667,1.5991146152256737,M,21.178089338988816,1498.693,1.9,2847.5167,2917.6906094282404,-70.17390942824022
2816,15,53.58688784939663,1.6165526154094638,F,20.50590052522683,1373.748,1.3,1785.8724000000002,1889.8673107442728,-103.9949107442726
2817,14,50.02957721243544,1.5931387193145834,F,19.711498770841835,1340.318,1.2,1608.3816,1770.6355628131375,-162.2539628131376
2818,16,52.7160927576732,1.5984522575723354,M,20.632120938252797,1478.637,1.5,2217.9555,2332.7526284884116,-114.79712848841154
2819,17,53.15103782891201,1.6067450324243857,F,20.588173394417897,1358.497,1.2,1630.1964,1718.2321715626967,-88.03577156269671
2820,16,53.33215872694501,1.613564487087895,M,20.484082161845667,1494.633,1.9,2839.8027,3008.3709928083767,-168.56829280837655
2821,15,53.40744288970664,1.6145317158878283,F,20.488427311649875,1371.682,1.3,1783.1866,1888.634429153947,-105.44782915394694
2822,14,48.83238717369248,1.6253506107060574,M,18.484760917359147,1452.479,1.3,1888.2227,2216.6601328081374,-328.4374328081374
2823,15,51.08115313592381,1.6038041430294625,M,19.859029944070787,1465.714,1.9,2784.8566,3043.018132818854,-258.1615328188541
2824,14,48.88473512930199,1.6106221323813403,F,18.84455737410563,1332.299,1.2,1598.7587999999998,1841.0125147153549,-242.25371471535504
2825,16,49.842099016179,1.6148948722859429,M,19.11207374701597,1447.484,1.9,2750.2196,3122.6211299712045,-372.4015299712046
2826,15,52.95910632602262,1.58825580790185,M,20.994219985984454,1483.668,1.2,1780.4016,1840.2548294622125,-59.85322946221254
2827,15,51.07467855242001,1.5903074705833775,M,20.194980764376364,1458.877,1.2,1750.6524,1881.1187553598609,-130.46635535986093
2828,15,53.678761759393154,1.62537414128935,F,20.3186943288206,1376.13,1.3,1788.9690000000005,1910.586707578732,-121.6177075787316
2829,14,52.95839158204341,1.6068455931384755,M,20.51098393379447,1499.753,1.2,1799.7035999999998,1904.0319199730952,-104.3283199730954
2830,17,47.88538337076424,1.5957063703831371,M,18.806025084759728,1404.283,1.7,2387.2811,2754.6490891358853,-367.3679891358852
2831,15,54.25619610481412,1.6182723657673477,F,20.717917823497835,1380.466,1.9,2622.8854,2747.2168615055684,-124.33146150556831
2832,17,47.99201745606889,1.6145765203444895,F,18.40991323874684,1310.301,1.9,2489.5719,2934.4902134735635,-444.91831347356356
2833,15,48.09833032793114,1.5974658180850876,M,18.84806854467321,1421.68,1.3,1848.184,2127.8356827354883,-279.6516827354883
2834,16,49.65027687112941,1.594803685368056,F,19.5212315785474,1327.559,1.5,1991.3385,2213.5921740453764,-222.25367404537633
2835,15,50.759258153935605,1.6207061107889045,F,19.324431528974912,1347.309,1.5,2020.9635,2269.4022271363724,-248.43872713637234
2836,15,52.82371268114721,1.5901851803228928,M,20.889763276102688,1482.777,1.9,2817.2763,2926.548037044375,-109.27173704437519
2837,16,50.07777216924952,1.6075870186344656,F,19.37742295645974,1333.836,1.5,2000.754,2240.5642844022527,-239.81028440225282
2838,15,50.9549474124932,1.6044348590423845,M,19.794392580439,1464.3,1.5,2196.45,2407.9023797426844,-211.45237974268457
2839,16,53.74303373789659,1.6012427106856302,M,20.96079964705689,1494.101,1.9,2838.7919,2938.9043007550295,-100.11240075502928
2840,15,53.60054503025019,1.5883842646064,F,21.245064486464223,1369.091,1.9,2601.2728999999995,2656.9757868216507,-55.70288682165119
2841,16,48.463532648878,1.610452557776616,F,18.68612273071881,1318.827,1.5,1978.2405,2297.3101198478894,-319.06961984788927
2842,17,53.69452252457901,1.612011519984448,F,20.66301555353958,1364.609,1.5,2046.9135,2149.638944756598,-102.72544475659788
2843,14,47.692322573396886,1.6120207106587274,M,18.353007343291598,1430.195,1.2,1716.234,2029.2193591701916,-312.9853591701917
2844,15,51.09721359457164,1.59228266477546,F,20.15379720256348,1345.721,1.2,1614.8652,1738.7579366702532,-123.89273667025327
2845,16,48.71512613919384,1.59191368236146,M,19.22316087359204,1420.554,1.3,1846.7202,2084.6638387681455,-237.94363876814555
2846,17,53.87014083995726,1.6091958800922777,F,20.803206831024497,1365.817,1.3,1775.5621,1852.1037589521736,-76.54165895217352
2847,16,51.48083155198066,1.6139862482486218,M,19.76268248651161,1469.481,1.5,2204.2215,2420.2992980657327,-216.07779806573262
2848,17,53.74385010523815,1.6199713683020247,M,20.479252355257863,1496.676,1.2,1796.0112,1903.069622070159,-107.05842207015917
2849,14,51.31670515942714,1.615369508903367,F,19.66595323967332,1356.453,1.5,2034.6795,2245.126112724014,-210.44661272401413
2850,15,47.73906887840143,1.5881334471981583,F,18.927792197509728,1312.778,1.5,1969.167,2257.575709523162,-288.4087095231621
2851,14,49.85200283592204,1.6035426112439817,F,19.3874906350281,1340.381,1.5,2010.5715,2250.3893036664135,-239.8178036664135
2852,16,52.5565098503626,1.6053754269114586,M,20.392632602108662,1479.912,1.9,2811.8328,2992.098810905399,-180.26601090539907
2853,17,54.3122818492602,1.6239098031193082,F,20.595590221064263,1372.563,1.3,1784.3319,1880.0142076238672,-95.68230762386725
2854,16,49.87891333812824,1.596195957843029,F,19.57692919147453,1329.991,1.2,1595.9892,1769.0703838823788,-173.0811838823788
2855,16,50.973361731765415,1.6006197935439566,M,19.896052135114147,1455.845,1.9,2766.1055,3016.904506601286,-250.79900660128578
2856,15,52.843258601040176,1.5987027507850573,M,20.67541075018621,1487.304,1.9,2825.8776000000003,2965.9165982686814,-140.0389982686811
2857,14,51.75360209108213,1.600423340899807,F,20.205557103894865,1358.107,1.5,2037.1605,2187.8329126336575,-150.6724126336576
2858,17,52.36501381530309,1.601430106197714,M,20.41856631126501,1468.516,1.9,2790.1804,2965.287266354054,-175.10686635405364
2859,17,52.28541264405753,1.5894159401378225,M,20.69690524915213,1461.418,1.2,1753.7016,1838.6963781244046,-84.99477812440455
2860,15,52.292512933028,1.5992839934901233,M,20.445057262757786,1480.049,1.9,2812.0931,2984.7028299185517,-172.6097299185517
2861,16,51.717111792414826,1.5879177197817602,F,20.510595652406963,1346.23,1.9,2557.837,2706.1653323308706,-148.32833233087058
2862,16,51.34929378320665,1.5948962943287062,F,20.18689746270198,1343.886,1.5,2015.829,2166.9248273947,-151.0958273947001
2863,16,49.36019358097938,1.589693520863772,M,19.532149776853185,1428.281,1.7,2428.0777,2697.5671747326082,-269.4894747326084
2864,16,50.62757423252956,1.621391422930051,F,19.25800860968924,1341.461,1.5,2012.1915,2267.3453125382416,-255.1538125382417
2865,15,48.456428241172,1.6107707256326438,F,18.67600332836796,1323.513,1.2,1588.2155999999998,1845.3776171505815,-257.16201715058173
2866,15,53.72595485967984,1.5969045879473691,F,21.06814048313476,1371.743,1.2,1646.0916,1695.4599172430212,-49.36831724302124
2867,14,51.26715247191072,1.5904150172497842,M,20.268343711049194,1468.367,1.2,1762.0404,1886.5022828261824,-124.46188282618232
2868,16,49.34161320909982,1.6031636872903616,F,19.198071731045403,1326.017,1.2,1591.2204,1798.591189976752,-207.37078997675212
2869,17,52.2986527516042,1.596919375249403,F,20.50805724099685,1348.643,1.9,2562.4217,2711.351457457566,-148.9297574575662
2870,15,51.37214277357393,1.59942161225656,M,20.081759451125578,1467.509,1.9,2788.2671,3012.952934590036,-224.68583459003594
2871,15,50.752785423992336,1.5987590925963129,F,19.85609433079877,1343.516,1.9,2552.6804,2789.73114033205,-237.05074033204983
2872,15,50.56532482676669,1.606845900013372,F,19.58413271247389,1343.091,1.9,2551.8729,2827.576933990501,-275.7040339905011
2873,17,52.20092165826015,1.588119761184216,F,20.69720357878135,1346.209,1.9,2557.7971,2681.724458994188,-123.92735899418813
2874,15,52.98537268730937,1.6113809807690436,F,20.406077266243138,1367.094,1.9,2597.4786,2762.1813288555254,-164.7027288555255
2875,15,47.9607794721174,1.5972372238567305,F,18.79954710360436,1316.454,1.7,2237.9718,2583.2530854261386,-345.28128542613877
2876,16,49.54644465245792,1.607159852048292,M,19.1820202921969,1439.566,1.7,2447.2622,2768.5086831861477,-321.24648318614754
2877,14,52.83438272168278,1.6228999270798234,F,20.06010289488211,1372.303,1.9,2607.3757,2820.526543980746,-213.15084398074578
2878,17,53.924343702563824,1.6192103339400206,F,20.567349799081605,1368.039,1.3,1778.4507,1876.3905202664114,-97.93982026641129
2879,14,51.217097824588045,1.5890622794642255,M,20.2830438029423,1467.005,1.2,1760.4060000000002,1883.3864666041156,-122.98046660411546
2880,17,49.8604421882312,1.6076603783219854,M,19.29156714195285,1437.318,1.7,2443.4406,2748.4890486005697,-305.0484486005698
2881,14,47.62246803089436,1.6246885030170477,M,18.04146019472118,1435.572,1.7,2440.4724,2935.3639067138956,-494.8915067138955
2882,16,53.25631668820672,1.598295241337495,F,20.847650304907123,1362.771,1.9,2589.2649,2695.126189677821,-105.86128967782088
2883,17,47.9109760519281,1.616678203892305,M,18.331071531294583,1415.119,1.7,2405.7023,2847.8280618172485,-442.12576181724853
2884,15,49.28792403099534,1.6188384868644663,M,18.80760454341003,1448.664,1.9,2752.4616,3175.7588576546373,-423.2972576546372
2885,14,53.74741982450661,1.595471097819938,M,21.114448286645583,1504.875,1.2,1805.85,1855.93033111762,-50.08033111762006
2886,17,49.10099090304932,1.6059937478734103,F,19.037177367125874,1319.488,1.7,2243.1296,2556.887052176938,-313.75745217693793
2887,17,54.119607914229405,1.6228419797013471,F,20.54954330568948,1370.531,1.9,2604.0089,2749.7931360039083,-145.78423600390852
2888,17,48.37147610361608,1.624879484392822,F,18.32090951687954,1315.696,1.9,2499.8224,2960.8871781186185,-461.0647781186185
2889,15,52.07320128894972,1.6248330126760795,M,19.724082432041712,1489.819,1.5,2234.7285,2458.5989547083964,-223.8704547083962
2890,15,50.933220800743385,1.6064604483850835,M,19.736087635280835,1465.015,1.5,2197.5225,2416.195100631526,-218.67260063152617
2891,15,51.21367330838699,1.6050254285173344,M,19.88026147201267,1468.14,1.9,2789.466,3044.799601112682,-255.33360111268212
2892,15,51.549377041626016,1.6038850152503696,F,20.03904227888185,1352.034,1.9,2568.8646,2781.7877243937055,-212.92312439370562
2893,15,53.57545374056355,1.615635567155579,F,20.524805355361025,1373.482,1.9,2609.6158,2759.0353174876145,-149.41951748761448
2894,14,51.92434027173671,1.6164123034870743,F,19.87314916773464,1362.464,1.9,2588.6816,2826.6476664505094,-237.96606645050952
2895,16,47.60114074809975,1.596710172987554,F,18.670896694779856,1308.212,1.5,1962.318,2280.6778536729553,-318.3598536729553
2896,16,48.60880821114874,1.6164154356401388,M,18.604114133928533,1431.348,1.7,2433.2916,2838.212415806653,-404.9208158066531
2897,15,52.712427106341046,1.5989142012873412,F,20.618767131346964,1362.355,1.5,2043.5325,2150.693829922657,-107.16132992265716
2898,17,51.91643458506137,1.62440630377115,M,19.675035600293025,1473.858,1.2,1768.6296,1950.6578335964184,-182.02823359641843
2899,15,52.18721154180433,1.6024050169144008,F,20.324482681263746,1357.906,1.2,1629.4871999999998,1739.767392583956,-110.28019258395625
2900,16,53.59650179020229,1.6242580680311316,M,20.31544684140624,1503.601,1.7,2556.1217,2730.328371461039,-174.2066714610387
2901,16,50.48432260847581,1.5907707528857116,F,19.94992824614022,1334.881,1.5,2002.3215,2177.971570319131,-175.65007031913092
2902,17,53.995034509881926,1.610271886075442,M,20.823580295843307,1495.268,1.9,2841.0092,2960.5811663571717,-119.57196635717173
2903,14,50.991276303877385,1.616624434917959,F,19.510913561044603,1353.542,1.3,1759.6046,1957.0288034198886,-197.42420341988873
2904,15,51.24811566933364,1.6141974871690217,F,19.66819782092531,1350.895,1.2,1621.0739999999998,1788.5373189898617,-167.46331898986182
2905,16,52.80060988187753,1.6070357057205749,F,20.44503632812572,1359.882,1.3,1767.8466,1876.361117892757,-108.51451789275688
2906,17,52.67742284546192,1.5907298232213976,M,20.817648578167432,1467.446,1.2,1760.9352,1835.5720482319625,-74.63684823196263
2907,17,54.23514157417339,1.5927155577146386,F,21.37983423172079,1366.519,1.9,2596.3861,2635.267315890001,-38.88121589000093
2908,16,53.62134758864792,1.6159418958290903,F,20.534599766127315,1369.275,1.3,1780.0575,1881.0811113892398,-101.02361138923993
2909,15,49.75818744817892,1.6060257982327617,M,19.29121216120139,1448.7,1.5,2173.05,2444.3868330285027,-271.3368330285025
2910,16,49.366818042956695,1.6201542154585442,F,18.8071256147295,1329.148,1.2,1594.9776,1840.3138591733068,-245.33625917330687
2911,16,54.320531044747085,1.589679489540169,M,21.49536704035121,1496.231,1.9,2842.8389,2869.902338219951,-27.063438219950967
2912,15,50.077415950058125,1.6216407176015928,M,19.04287995934056,1460.881,1.9,2775.6739,3162.9734451198938,-387.299545119894
2913,16,52.42617013839538,1.5923257339200634,F,20.676846554548877,1353.787,1.3,1759.9231000000002,1847.0094639067765,-87.08636390677634
2914,16,53.905909118405006,1.611714179205611,M,20.752017330299065,1501.568,1.3,1952.0384,2041.2103847924811,-89.17198479248123
2915,16,53.33459434397128,1.5879780039218,F,21.15047042680192,1361.768,1.5,2042.652,2095.7239959935155,-53.07199599351543
2916,15,50.89793252071872,1.6023010961693531,M,19.82494001854978,1462.452,1.2,1754.9424,1920.926370741462,-165.98397074146214
2917,14,49.934246757745726,1.5974864734126573,M,19.56699455172061,1453.642,1.9,2761.9198,3062.9977179980237,-301.0779179980236
2918,15,53.33254373526523,1.6245764266080314,M,20.207472848344644,1506.944,1.3,1959.0272,2103.7212599042246,-144.69405990422456
2919,14,53.22045239671145,1.5984390246097036,M,20.8298630207558,1499.14,1.5,2248.71,2342.6465623598438,-93.93656235984372
2920,14,48.37750325286144,1.6019509912651106,M,18.851460385444238,1434.547,1.7,2438.7299,2807.2328481702884,-368.5029481702886
